Indicator Group / Sector,research.question,sub.research.question,repeat.for.variable,independent.variable,independent.variable.type,dependent.variable,dependent.variable.type,hypothesis.type
,Pre-existing vulnerabilities,,,population_group,categorical,pev_score,categorical,group_difference
,Education,,,population_group,categorical,edu_score,categorical,group_difference
,Nutrition,,,population_group,categorical,nut_score,categorical,group_difference
,Health,,,population_group,categorical,health_score,categorical,group_difference
,Shelter_NFI,,,population_group,categorical,snfi_score,categorical,group_difference
,WASH,,,population_group,categorical,wash_score,categorical,group_difference
,Food Security Livelihoods,,,population_group,categorical,fsl_score,categorical,group_difference
,Protection,,,population_group,categorical,prot_score,categorical,group_difference
,MCSI,,,population_group,categorical,mcsi_score,categorical,group_difference
,Impact,,,population_group,categorical,impact_score,categorical,group_difference
,MSNI,,,population_group,categorical,msni,categorical,group_difference
,Pre-existing vulnerabilities binary,,,population_group,categorical,pev_score_2_cat,categorical,group_difference
,Education binary,,,population_group,categorical,edu_score_2_cat,categorical,group_difference
,Nutrition binary,,,population_group,categorical,nut_score_2_cat,categorical,group_difference
,Health binary,,,population_group,categorical,health_score_2_cat,categorical,group_difference
,Shelter_NFI binary,,,population_group,categorical,snfi_score_2_cat,categorical,group_difference
,WASH binary,,,population_group,categorical,wash_score_2_cat,categorical,group_difference
,Food Security Livelihoods binary,,,population_group,categorical,fsl_score_2_cat,categorical,group_difference
,Protection binary,,,population_group,categorical,prot_score_2_cat,categorical,group_difference
,MCSI binary,,,population_group,categorical,mcsi_score_2_cat,categorical,group_difference
,Impact binary,,,population_group,categorical,impact_score_2_cat,categorical,group_difference
,MSNI binary,,,population_group,categorical,msni_2_cat,categorical,group_difference
