"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"msni","population_group","1","IDP",0.0155859464832886,NA,0.00492205334240459,0.0262498396241726,NA,NA
"msni","population_group","2","IDP",0.72067067526638,NA,0.683050187582208,0.758291162950552,NA,NA
"msni","population_group","3","IDP",0.256896521057537,NA,0.220514444190891,0.293278597924183,NA,NA
"msni","population_group","4","IDP",0.00684685719279404,NA,-0.000380425101318782,0.0140741394869069,NA,NA
"msni","population_group","1","not_displaced",0.103919191032879,NA,0.061413016092701,0.146425365973057,NA,NA
"msni","population_group","2","not_displaced",0.775646935224332,NA,0.741899256232445,0.809394614216219,NA,NA
"msni","population_group","3","not_displaced",0.11900596721488,NA,0.0962163807593915,0.141795553670368,NA,NA
"msni","population_group","4","not_displaced",0.00142790652790949,NA,9.29793014594772e-05,0.00276283375435951,NA,NA
"pev_score","population_group","1","IDP",0.0217273828347919,NA,0.00952984228605699,0.0339249233835269,NA,NA
"pev_score","population_group","2","IDP",0.317290713312813,NA,0.268385652515272,0.366195774110353,NA,NA
"pev_score","population_group","3","IDP",0.660981903852395,NA,0.609333861718266,0.712629945986525,NA,NA
"pev_score","population_group","1","not_displaced",0.0588557337572663,NA,0.0377694745319661,0.0799419929825666,NA,NA
"pev_score","population_group","2","not_displaced",0.767462858993294,NA,0.737110251166101,0.797815466820487,NA,NA
"pev_score","population_group","3","not_displaced",0.17368140724944,NA,0.148543688057817,0.198819126441063,NA,NA
"hhh_score","population_group","1","IDP",0.227289275729606,NA,0.193045405896068,0.261533145563145,NA,NA
"hhh_score","population_group","2","IDP",0.641067156510799,NA,0.604354471947965,0.677779841073632,NA,NA
"hhh_score","population_group","3","IDP",0.0458022763893829,NA,0.0316427878089916,0.0599617649697741,NA,NA
"hhh_score","population_group","4","IDP",0.0783225819301442,NA,0.0524947322321089,0.104150431628179,NA,NA
"hhh_score","population_group","5","IDP",0.00495402733338582,NA,-6.90807508803961e-05,0.00997713541765204,NA,NA
"hhh_score","population_group","6","IDP",0.00256468210668203,NA,-0.00114660631152577,0.00627597052488983,NA,NA
"hhh_score","population_group","1","not_displaced",0.289641205054964,NA,0.256918492742648,0.322363917367281,NA,NA
"hhh_score","population_group","2","not_displaced",0.565747407996469,NA,0.521935119744279,0.609559696248658,NA,NA
"hhh_score","population_group","3","not_displaced",0.0690646172556649,NA,0.052947994371555,0.0851812401397747,NA,NA
"hhh_score","population_group","4","not_displaced",0.0658785748591205,NA,0.053818484674209,0.0779386650440319,NA,NA
"hhh_score","population_group","5","not_displaced",0.00392698326836302,NA,0.00187423949997585,0.0059797270367502,NA,NA
"hhh_score","population_group","6","not_displaced",0.00439259319876882,NA,0.0020408037319818,0.00674438266555583,NA,NA
"hhh_score","population_group","7","not_displaced",0.000706587953432187,NA,-0.000150849555237536,0.00156402546210191,NA,NA
"hhh_score","population_group","8","not_displaced",0.000642030413217485,NA,-0.000273892785240287,0.00155795361167526,NA,NA
"primary_income_earner_score","population_group","1","IDP",0.516009375550691,NA,0.470882419100174,0.561136332001208,NA,NA
"primary_income_earner_score","population_group","2","IDP",0.370373192524388,NA,0.328325031491021,0.412421353557756,NA,NA
"primary_income_earner_score","population_group","3","IDP",0.0494269909159134,NA,0.0352091077152925,0.0636448741165343,NA,NA
"primary_income_earner_score","population_group","4","IDP",0.0467264841508021,NA,0.0300536338917971,0.063399334409807,NA,NA
"primary_income_earner_score","population_group","5","IDP",0.00513781374901399,NA,0.000713682338759679,0.0095619451592683,NA,NA
"primary_income_earner_score","population_group","6","IDP",0.000370181679280254,NA,-8.65032485595841e-05,0.000826866607120091,NA,NA
"primary_income_earner_score","population_group","7","IDP",0.00911627525550594,NA,0.000586473636189485,0.0176460768748224,NA,NA
"primary_income_earner_score","population_group","8","IDP",0.00283968617440523,NA,-0.00270108104976346,0.00838045339857392,NA,NA
"primary_income_earner_score","population_group","1","not_displaced",0.592956884933886,NA,0.568967765548226,0.616946004319546,NA,NA
"primary_income_earner_score","population_group","2","not_displaced",0.277328268875419,NA,0.255501884676966,0.299154653073872,NA,NA
"primary_income_earner_score","population_group","3","not_displaced",0.0810764546621288,NA,0.0659426040321017,0.0962103052921559,NA,NA
"primary_income_earner_score","population_group","4","not_displaced",0.039970403045587,NA,0.0320537680685812,0.0478870380225929,NA,NA
"primary_income_earner_score","population_group","5","not_displaced",0.00521588751714859,NA,0.0020026140580066,0.00842916097629058,NA,NA
"primary_income_earner_score","population_group","6","not_displaced",0.0028583925539937,NA,0.000305980073793401,0.005410805034194,NA,NA
"primary_income_earner_score","population_group","8","not_displaced",0.000593708411837028,NA,-0.00015982367769956,0.00134724050137362,NA,NA
"vulnerable_members_score","population_group","1","IDP",0.586295573890738,NA,0.546645238213786,0.62594590956769,NA,NA
"vulnerable_members_score","population_group","2","IDP",0.0399000802774966,NA,0.0238940546084873,0.055906105946506,NA,NA
"vulnerable_members_score","population_group","3","IDP",0.242685968721345,NA,0.211642702177219,0.27372923526547,NA,NA
"vulnerable_members_score","population_group","4","IDP",0.0481823319023501,NA,0.0359885910229739,0.0603760727817263,NA,NA
"vulnerable_members_score","population_group","5","IDP",0.0304117774663741,NA,0.0175829732188767,0.0432405817138714,NA,NA
"vulnerable_members_score","population_group","6","IDP",0.00949947309972104,NA,-0.00182559156747602,0.0208245377669181,NA,NA
"vulnerable_members_score","population_group","7","IDP",0.0241494263646935,NA,0.0123763037755443,0.0359225489538427,NA,NA
"vulnerable_members_score","population_group","8","IDP",0.0188753682772825,NA,0.011080551670228,0.026670184884337,NA,NA
"vulnerable_members_score","population_group","1","not_displaced",0.610435788944025,NA,0.583750427978743,0.637121149909307,NA,NA
"vulnerable_members_score","population_group","2","not_displaced",0.0220795311751909,NA,0.0132238255709724,0.0309352367794093,NA,NA
"vulnerable_members_score","population_group","3","not_displaced",0.232412718130733,NA,0.208600340488854,0.256225095772611,NA,NA
"vulnerable_members_score","population_group","4","not_displaced",0.0623960146062294,NA,0.0493992637418447,0.075392765470614,NA,NA
"vulnerable_members_score","population_group","5","not_displaced",0.0210856613760159,NA,0.0142206122735474,0.0279507104784844,NA,NA
"vulnerable_members_score","population_group","6","not_displaced",0.00586127543267443,NA,0.00341165324774089,0.00831089761760796,NA,NA
"vulnerable_members_score","population_group","7","not_displaced",0.025201293023704,NA,0.0170534001149887,0.0333491859324193,NA,NA
"vulnerable_members_score","population_group","8","not_displaced",0.0205277173114277,NA,0.0120604776516842,0.0289949569711713,NA,NA
"id_score","population_group","1","IDP",0.0720577947335199,NA,0.0521077649267354,0.0920078245403044,NA,NA
"id_score","population_group","2","IDP",0.2850681242134,NA,0.232760696149773,0.337375552277026,NA,NA
"id_score","population_group","3","IDP",0.123308620073217,NA,0.0940511021005187,0.152566138045915,NA,NA
"id_score","population_group","4","IDP",0.519565460979863,NA,0.461808633728472,0.577322288231255,NA,NA
"id_score","population_group","1","not_displaced",0.230237746536388,NA,0.185694759512127,0.274780733560649,NA,NA
"id_score","population_group","2","not_displaced",0.371789266588119,NA,0.331497607287253,0.412080925888985,NA,NA
"id_score","population_group","3","not_displaced",0.0937995317190325,NA,0.0681165859916977,0.119482477446367,NA,NA
"id_score","population_group","4","not_displaced",0.304173455156461,NA,0.260955225603224,0.347391684709698,NA,NA
"adr_score","population_group","1","IDP",0.0390840976639976,NA,0.0262529254448037,0.0519152698831915,NA,NA
"adr_score","population_group","2","IDP",0.0106467680587904,NA,0.00443165600581785,0.016861880111763,NA,NA
"adr_score","population_group","3","IDP",0.0100260538630824,NA,0.00395190655001301,0.0161002011761517,NA,NA
"adr_score","population_group","4","IDP",0.0628111016225874,NA,0.0480570238376774,0.0775651794074975,NA,NA
"adr_score","population_group","5","IDP",0.0197919103921196,NA,0.01019429819284,0.0293895225913992,NA,NA
"adr_score","population_group","6","IDP",0.0222178757751919,NA,0.0117798583344526,0.0326558932159313,NA,NA
"adr_score","population_group","7","IDP",0.00443205039285838,NA,0.000529654056567566,0.00833444672914919,NA,NA
"adr_score","population_group","8","IDP",0.830990142231372,NA,0.799420142932046,0.862560141530699,NA,NA
"adr_score","population_group","1","not_displaced",0.073327177083646,NA,0.0538269237353548,0.0928274304319373,NA,NA
"adr_score","population_group","2","not_displaced",0.0168044206995373,NA,0.0109346743565474,0.0226741670425271,NA,NA
"adr_score","population_group","3","not_displaced",0.0271499300138107,NA,0.017960797809089,0.0363390622185324,NA,NA
"adr_score","population_group","4","not_displaced",0.0951884124590455,NA,0.0823310099204761,0.108045814997615,NA,NA
"adr_score","population_group","5","not_displaced",0.0319440994399617,NA,0.0235228940828049,0.0403653047971185,NA,NA
"adr_score","population_group","6","not_displaced",0.0298033287978232,NA,0.019642107519612,0.0399645500760344,NA,NA
"adr_score","population_group","7","not_displaced",0.00875233523023869,NA,0.00491410897957444,0.0125905614809029,NA,NA
"adr_score","population_group","8","not_displaced",0.717030296275937,NA,0.685643995866137,0.748416596685737,NA,NA
"wdr_score","population_group","1","IDP",0.00364342559408686,NA,0.000836367171779697,0.00645048401639402,NA,NA
"wdr_score","population_group","3","IDP",0.000321747161260186,NA,-0.000325158041342318,0.00096865236386269,NA,NA
"wdr_score","population_group","4","IDP",0.000669767892335121,NA,-9.65109448405752e-05,0.00143604672951082,NA,NA
"wdr_score","population_group","5","IDP",0.00277666218737799,NA,-0.00268044307469531,0.0082337674494513,NA,NA
"wdr_score","population_group","6","IDP",8.14951149508407e-05,NA,-8.20279842479382e-05,0.000245018214149619,NA,NA
"wdr_score","population_group","8","IDP",0.992506902049989,NA,0.986498312091769,0.998515492008209,NA,NA
