"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"msni",NA,"1",NA,0.0953291648922356,NA,0.0626815295483885,0.127976800236083,NA,NA
"msni",NA,"2",NA,0.770300731622714,NA,0.744984451635906,0.795617011609522,NA,NA
"msni",NA,"3",NA,0.132415227432772,NA,0.114076945996082,0.150753508869462,NA,NA
"msni",NA,"4",NA,0.00195487605227789,NA,0.000790594664070899,0.00311915744048487,NA,NA
"pev_score",NA,"1",NA,0.0552451621473445,NA,0.0393706919049078,0.0711196323897812,NA,NA
"pev_score",NA,"2",NA,0.723685564058612,NA,0.698724280321909,0.748646847795315,NA,NA
"pev_score",NA,"3",NA,0.221069273794044,NA,0.199628247865445,0.242510299722642,NA,NA
"hhh_score",NA,"1",NA,0.283577749494655,NA,0.259140996708346,0.308014502280965,NA,NA
"hhh_score",NA,"2",NA,0.573071927909032,NA,0.540435924783583,0.60570793103448,NA,NA
"hhh_score",NA,"3",NA,0.0668024551766785,NA,0.0547158803755819,0.078889029977775,NA,NA
"hhh_score",NA,"4",NA,0.0670887007475048,NA,0.0577426416399211,0.0764347598550885,NA,NA
"hhh_score",NA,"5",NA,0.00402685886345888,NA,0.00242781005040128,0.00562590767651649,NA,NA
"hhh_score",NA,"6",NA,0.00421483674768564,NA,0.00241548954201576,0.00601418395335552,NA,NA
"hhh_score",NA,"7",NA,0.00063787532975811,NA,-7.26214429833984e-06,0.00128301280381456,NA,NA
"hhh_score",NA,"8",NA,0.000579595731227172,NA,-0.000109621028244511,0.00126881249069885,NA,NA
"primary_income_earner_score",NA,"1",NA,0.585474072314137,NA,0.567082192946161,0.603865951682113,NA,NA
"primary_income_earner_score",NA,"2",NA,0.286376485438438,NA,0.270022252950343,0.302730717926533,NA,NA
"primary_income_earner_score",NA,"3",NA,0.0779986811431825,NA,0.066693436522854,0.0893039257635109,NA,NA
"primary_income_earner_score",NA,"4",NA,0.0406274027244511,NA,0.0344976282915352,0.0467571771573671,NA,NA
"primary_income_earner_score",NA,"5",NA,0.00520829518073443,NA,0.00276367285544652,0.00765291750602234,NA,NA
"primary_income_earner_score",NA,"6",NA,0.00261642480372928,NA,0.000697423202133178,0.00453542640532537,NA,NA
"primary_income_earner_score",NA,"7",NA,0.000886518356134114,NA,0.0001521885298114,0.00162084818245683,NA,NA
"primary_income_earner_score",NA,"8",NA,0.000812120039193626,NA,8.29372326410906e-05,0.00154130284574616,NA,NA
"vulnerable_members_score",NA,"1",NA,0.608088257395673,NA,0.587761038827999,0.628415475963346,NA,NA
"vulnerable_members_score",NA,"2",NA,0.0238125025316713,NA,0.0170089895433407,0.0306160155200019,NA,NA
"vulnerable_members_score",NA,"3",NA,0.233411747336245,NA,0.215371595471137,0.251451899201354,NA,NA
"vulnerable_members_score",NA,"4",NA,0.0610137954134023,NA,0.0512676666143649,0.0707599242124396,NA,NA
"vulnerable_members_score",NA,"5",NA,0.0219925858461329,NA,0.0167237355997419,0.0272614360925239,NA,NA
"vulnerable_members_score",NA,"6",NA,0.00621507442674639,NA,0.00414714728455249,0.00828300156894028,NA,NA
"vulnerable_members_score",NA,"7",NA,0.0250990035386585,NA,0.0188956757551585,0.0313023313221586,NA,NA
"vulnerable_members_score",NA,"8",NA,0.0203670335114706,NA,0.0139680225457295,0.0267660444772116,NA,NA
"id_score",NA,"1",NA,0.214855430084177,NA,0.180735877505532,0.248974982662821,NA,NA
"id_score",NA,"2",NA,0.363356010414368,NA,0.33245759146922,0.394254429359516,NA,NA
"id_score",NA,"3",NA,0.0966691629846054,NA,0.0771165909096749,0.116221735059536,NA,NA
"id_score",NA,"4",NA,0.32511939651685,NA,0.291177864805659,0.35906092822804,NA,NA
"adr_score",NA,"1",NA,0.0699971856534573,NA,0.0552475151563459,0.0847468561505686,NA,NA
"adr_score",NA,"2",NA,0.0162056156016523,NA,0.0117432859739591,0.0206679452293454,NA,NA
"adr_score",NA,"3",NA,0.0254847070899395,NA,0.0185093240155267,0.0324600901643523,NA,NA
"adr_score",NA,"4",NA,0.0920398589572801,NA,0.0822118358684812,0.101867882046079,NA,NA
"adr_score",NA,"5",NA,0.0307623515927126,NA,0.0243615653087428,0.0371631378766824,NA,NA
"adr_score",NA,"6",NA,0.0290656762856205,NA,0.021362137536936,0.036769215034305,NA,NA
"adr_score",NA,"7",NA,0.00833220620772455,NA,0.00540609073633429,0.0112583216791148,NA,NA
"adr_score",NA,"8",NA,0.728112398611613,NA,0.703851374736822,0.752373422486404,NA,NA
"wdr_score",NA,"1",NA,0.00494272929512115,NA,0.00275453042384637,0.00713092816639593,NA,NA
"wdr_score",NA,"3",NA,0.00015452103443925,NA,-9.77594673803704e-06,0.000318818015616536,NA,NA
"wdr_score",NA,"4",NA,0.00249743448090582,NA,0.000634770258627931,0.00436009870318371,NA,NA
"wdr_score",NA,"5",NA,0.00108354350211445,NA,0.000216404477658656,0.00195068252657025,NA,NA
"wdr_score",NA,"6",NA,7.92504760050385e-06,NA,-5.53308860170986e-06,2.13831838027176e-05,NA,NA
