"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"msni","population_group","2","IDP",0.698025734749284,NA,0.563663767418227,0.832387702080341,"region","sanaag"
"msni","population_group","3","IDP",0.301974265250716,NA,0.167612297919659,0.436336232581773,"region","sanaag"
"msni","population_group","1","not_displaced",0.0294604665984567,NA,0.00584411895704441,0.053076814239869,"region","sanaag"
"msni","population_group","2","not_displaced",0.906146958947515,NA,0.875707684041468,0.936586233853561,"region","sanaag"
"msni","population_group","3","not_displaced",0.0643925744540284,NA,0.0221033376982294,0.106681811209828,"region","sanaag"
"msni","population_group","1","IDP",0.000177924488101844,NA,-0.000192838355726615,0.000548687331930303,"region","togdheer"
"msni","population_group","2","IDP",0.623278766357688,NA,0.444222346828657,0.802335185886719,"region","togdheer"
"msni","population_group","3","IDP",0.37654330915421,NA,0.197404303942258,0.555682314366162,"region","togdheer"
"msni","population_group","1","not_displaced",0.231547668346157,NA,0.056367727967569,0.406727608724745,"region","togdheer"
"msni","population_group","2","not_displaced",0.731785418804114,NA,0.572725038277762,0.890845799330466,"region","togdheer"
"msni","population_group","3","not_displaced",0.0366669128497287,NA,0.0120863164960039,0.0612475092034536,"region","togdheer"
"msni","population_group","1","IDP",0.00896109658510812,NA,-0.00403903073468954,0.0219612239049058,"region","sool"
"msni","population_group","2","IDP",0.779234664869912,NA,0.696675306445739,0.861794023294084,"region","sool"
"msni","population_group","3","IDP",0.21180423854498,NA,0.125665050163671,0.29794342692629,"region","sool"
"msni","population_group","1","not_displaced",0.155511736181271,NA,0.0802254454322867,0.230798026930256,"region","sool"
"msni","population_group","2","not_displaced",0.82063365023398,NA,0.751458934680306,0.889808365787654,"region","sool"
"msni","population_group","3","not_displaced",0.0238546135847484,NA,-0.00344613126030174,0.0511553584297986,"region","sool"
"msni","population_group","1","IDP",0.0877227993599494,NA,-0.00179010410751122,0.17723570282741,"region","woqooyi_galbeed"
"msni","population_group","2","IDP",0.886552747502149,NA,0.774014293565065,0.999091201439234,"region","woqooyi_galbeed"
"msni","population_group","3","IDP",0.0257244531379014,NA,-0.0122388390565276,0.0636877453323303,"region","woqooyi_galbeed"
"msni","population_group","1","not_displaced",0.187258223051777,NA,0.0557488437684402,0.318767602335114,"region","woqooyi_galbeed"
"msni","population_group","2","not_displaced",0.724749539642648,NA,0.619995362980021,0.829503716305274,"region","woqooyi_galbeed"
"msni","population_group","3","not_displaced",0.0879922373055753,NA,0.0142356873625163,0.161748787248634,"region","woqooyi_galbeed"
"msni","population_group","1","IDP",0.0566993298069645,NA,-0.0397053647028516,0.153104024316781,"region","awdal"
"msni","population_group","2","IDP",0.886601340386071,NA,0.763000459263289,1.01020222150885,"region","awdal"
"msni","population_group","3","IDP",0.0566993298069645,NA,-0.0345275893134884,0.147926248927417,"region","awdal"
"msni","population_group","1","not_displaced",0.110335478152795,NA,0.0748465796025965,0.145824376702994,"region","awdal"
"msni","population_group","2","not_displaced",0.796163775451256,NA,0.72925104560078,0.863076505301733,"region","awdal"
"msni","population_group","3","not_displaced",0.0935007463959485,NA,0.0199878746466807,0.167013618145216,"region","awdal"
"pev_score","population_group","1","IDP",0.0402853017760977,NA,-0.01462939518393,0.0951999987361254,"region","sanaag"
"pev_score","population_group","2","IDP",0.299196659996545,NA,0.118739111039403,0.479654208953687,"region","sanaag"
"pev_score","population_group","3","IDP",0.660518038227357,NA,0.467142202383056,0.853893874071659,"region","sanaag"
"pev_score","population_group","1","not_displaced",0.0371063858131933,NA,-0.00407144771004145,0.0782842193364281,"region","sanaag"
"pev_score","population_group","2","not_displaced",0.810067814485914,NA,0.723170723014945,0.896964905956883,"region","sanaag"
"pev_score","population_group","3","not_displaced",0.152825799700893,NA,0.0855808381796445,0.220070761222141,"region","sanaag"
"pev_score","population_group","1","IDP",0.0222284109193023,NA,-0.00963887733006735,0.0540956991686719,"region","togdheer"
"pev_score","population_group","2","IDP",0.298170909258557,NA,0.218003867584338,0.378337950932777,"region","togdheer"
"pev_score","population_group","3","IDP",0.67960067982214,NA,0.590488997476996,0.768712362167285,"region","togdheer"
"pev_score","population_group","1","not_displaced",0.00887197083670359,NA,0.000835924359277547,0.0169080173141296,"region","togdheer"
"pev_score","population_group","2","not_displaced",0.817929820762424,NA,0.747826185916675,0.888033455608174,"region","togdheer"
"pev_score","population_group","3","not_displaced",0.173198208400872,NA,0.108430147871429,0.237966268930315,"region","togdheer"
"pev_score","population_group","1","IDP",0.00921625424042362,NA,-0.00287912582745778,0.021311634308305,"region","sool"
"pev_score","population_group","2","IDP",0.185120667534714,NA,0.0311992893593709,0.339042045710058,"region","sool"
"pev_score","population_group","3","IDP",0.805663078224862,NA,0.6554970663522,0.955829090097524,"region","sool"
"pev_score","population_group","1","not_displaced",0.00857771706959096,NA,-0.000274171012881266,0.0174296051520632,"region","sool"
"pev_score","population_group","2","not_displaced",0.7499076194047,NA,0.702606598854097,0.797208639955302,"region","sool"
"pev_score","population_group","3","not_displaced",0.241514663525709,NA,0.192040621517297,0.290988705534122,"region","sool"
"pev_score","population_group","2","IDP",0.449911597925546,NA,0.267377534309063,0.632445661542028,"region","woqooyi_galbeed"
"pev_score","population_group","3","IDP",0.550088402074454,NA,0.367554338457972,0.732622465690937,"region","woqooyi_galbeed"
"pev_score","population_group","1","not_displaced",0.00939936871228242,NA,-0.00220711676600221,0.021005854190567,"region","woqooyi_galbeed"
"pev_score","population_group","2","not_displaced",0.844957036788886,NA,0.760774511206678,0.929139562371095,"region","woqooyi_galbeed"
"pev_score","population_group","3","not_displaced",0.145643594498831,NA,0.0587779116723538,0.232509277325309,"region","woqooyi_galbeed"
"pev_score","population_group","2","IDP",0.367967298377763,NA,0.200677714189809,0.535256882565718,"region","awdal"
"pev_score","population_group","3","IDP",0.632032701622237,NA,0.464743117434282,0.799322285810191,"region","awdal"
"pev_score","population_group","1","not_displaced",0.0864413826140868,NA,0.0375868223272202,0.135295942900953,"region","awdal"
"pev_score","population_group","2","not_displaced",0.759783517843078,NA,0.718578012879937,0.800989022806218,"region","awdal"
"pev_score","population_group","3","not_displaced",0.153775099542835,NA,0.10957540869037,0.197974790395301,"region","awdal"
"hhh_score","population_group","1","IDP",0.0565905770459241,NA,0.0119485932880988,0.101232560803749,"region","sanaag"
"hhh_score","population_group","2","IDP",0.778795830452969,NA,0.651048446985566,0.906543213920371,"region","sanaag"
"hhh_score","population_group","3","IDP",0.0226523967415956,NA,0.00173064347404319,0.0435741500091479,"region","sanaag"
"hhh_score","population_group","4","IDP",0.0945402436985328,NA,-0.0047778978067969,0.193858385203862,"region","sanaag"
"hhh_score","population_group","5","IDP",0.0474209520609791,NA,-0.0420137192572314,0.13685562337919,"region","sanaag"
"hhh_score","population_group","1","not_displaced",0.300646224834657,NA,0.230756458832872,0.370535990836442,"region","sanaag"
"hhh_score","population_group","2","not_displaced",0.540683264650999,NA,0.486230101969001,0.595136427332997,"region","sanaag"
"hhh_score","population_group","3","not_displaced",0.0713124197887356,NA,0.0269463960364571,0.115678443541014,"region","sanaag"
"hhh_score","population_group","4","not_displaced",0.0752701012748221,NA,0.053607144293684,0.0969330582559602,"region","sanaag"
"hhh_score","population_group","5","not_displaced",0.00640970799221716,NA,-0.00595070059521721,0.0187701165796515,"region","sanaag"
"hhh_score","population_group","6","not_displaced",0.0056782814585694,NA,-0.0042572918155273,0.0156138547326661,"region","sanaag"
"hhh_score","population_group","1","IDP",0.122810325743909,NA,0.0426451399277222,0.202975511560095,"region","togdheer"
"hhh_score","population_group","2","IDP",0.786427811257153,NA,0.657244674673265,0.91561094784104,"region","togdheer"
"hhh_score","population_group","3","IDP",0.0233205379548408,NA,-0.00765627740342211,0.0542973533131038,"region","togdheer"
"hhh_score","population_group","4","IDP",0.0672634005559963,NA,0.00917542092786178,0.125351380184131,"region","togdheer"
"hhh_score","population_group","5","IDP",0.000177924488101844,NA,-0.000192838355726616,0.000548687331930304,"region","togdheer"
"hhh_score","population_group","1","not_displaced",0.138717839730766,NA,0.0892449785717927,0.188190700889739,"region","togdheer"
"hhh_score","population_group","2","not_displaced",0.835332859224348,NA,0.78784385696247,0.882821861486227,"region","togdheer"
"hhh_score","population_group","3","not_displaced",0.00716215934584878,NA,-0.000161653340951399,0.014485972032649,"region","togdheer"
"hhh_score","population_group","4","not_displaced",0.00519518035308388,NA,-0.000478756723630994,0.0108691174297988,"region","togdheer"
"hhh_score","population_group","6","not_displaced",0.0135919613459531,NA,0.00250096316949943,0.0246829595224067,"region","togdheer"
"hhh_score","population_group","1","IDP",0.208459410254501,NA,0.110145302848448,0.306773517660553,"region","sool"
"hhh_score","population_group","2","IDP",0.759566508936462,NA,0.667992688739913,0.851140329133011,"region","sool"
"hhh_score","population_group","3","IDP",0.00317739757470924,NA,-0.00155006783904575,0.00790486298846423,"region","sool"
"hhh_score","population_group","4","IDP",0.0287966832343278,NA,-0.000733635532362248,0.0583270020010179,"region","sool"
"hhh_score","population_group","1","not_displaced",0.298750550769938,NA,0.156162271326306,0.44133883021357,"region","sool"
"hhh_score","population_group","2","not_displaced",0.631186309059744,NA,0.516464368007031,0.745908250112456,"region","sool"
"hhh_score","population_group","3","not_displaced",0.0224842582402473,NA,0.00843779563454636,0.0365307208459482,"region","sool"
"hhh_score","population_group","4","not_displaced",0.0372377256833302,NA,0.0203575896738375,0.0541178616928228,"region","sool"
"hhh_score","population_group","5","not_displaced",0.00105134073994128,NA,-0.000856555511547395,0.00295923699142996,"region","sool"
"hhh_score","population_group","6","not_displaced",0.0092898155067996,NA,0.00115398315887078,0.0174256478547284,"region","sool"
"hhh_score","population_group","1","IDP",0.351523219565163,NA,0.0736307582646809,0.629415680865645,"region","woqooyi_galbeed"
"hhh_score","population_group","2","IDP",0.458657552848482,NA,0.0569979577549058,0.860317147942059,"region","woqooyi_galbeed"
"hhh_score","population_group","3","IDP",0.000461946679811665,NA,-0.0005363501811948,0.00146024354081813,"region","woqooyi_galbeed"
"hhh_score","population_group","4","IDP",0.188287663967189,NA,0.0549415859025203,0.321633742031857,"region","woqooyi_galbeed"
"hhh_score","population_group","5","IDP",0.00106961693935446,NA,-0.000559144589827163,0.00269837846853609,"region","woqooyi_galbeed"
"hhh_score","population_group","1","not_displaced",0.235513335839903,NA,0.162351103018441,0.308675568661365,"region","woqooyi_galbeed"
"hhh_score","population_group","2","not_displaced",0.644497083817426,NA,0.56442288228537,0.724571285349483,"region","woqooyi_galbeed"
"hhh_score","population_group","3","not_displaced",0.0311255525126485,NA,0.00107868171453506,0.0611724233107619,"region","woqooyi_galbeed"
"hhh_score","population_group","4","not_displaced",0.0888132918770943,NA,0.0469448645890698,0.130681719165119,"region","woqooyi_galbeed"
"hhh_score","population_group","5","not_displaced",2.72223497987008e-05,NA,-2.85456158609101e-05,8.29903154583116e-05,"region","woqooyi_galbeed"
"hhh_score","population_group","8","not_displaced",2.35136031293054e-05,NA,-2.46648472238504e-05,7.16920534824612e-05,"region","woqooyi_galbeed"
"hhh_score","population_group","1","IDP",0.21399668599954,NA,0.0774983739164105,0.35049499808267,"region","awdal"
"hhh_score","population_group","2","IDP",0.658718994618543,NA,0.486105410113,0.831332579124085,"region","awdal"
"hhh_score","population_group","3","IDP",0.030816611492801,NA,-0.00580884977502715,0.0674420727606291,"region","awdal"
"hhh_score","population_group","4","IDP",0.0964677078891163,NA,0.0489056098703996,0.144029805907833,"region","awdal"
"hhh_score","population_group","1","not_displaced",0.162012999955862,NA,0.112435032131289,0.211590967780435,"region","awdal"
"hhh_score","population_group","2","not_displaced",0.763889623907992,NA,0.662755285347536,0.865023962468448,"region","awdal"
"hhh_score","population_group","3","not_displaced",0.0148504678402334,NA,-0.00362561826936209,0.033326553949829,"region","awdal"
"hhh_score","population_group","4","not_displaced",0.0499124635629841,NA,0.0115421859229762,0.0882827412029921,"region","awdal"
"hhh_score","population_group","5","not_displaced",0.00466722236646432,NA,-0.00612318566282932,0.015457630395758,"region","awdal"
"hhh_score","population_group","6","not_displaced",0.00466722236646432,NA,-0.00612318566282932,0.015457630395758,"region","awdal"
"primary_income_earner_score","population_group","1","IDP",0.575258140299313,NA,0.373428661765434,0.777087618833193,"region","sanaag"
"primary_income_earner_score","population_group","2","IDP",0.312022765999445,NA,0.170573375063968,0.453472156934923,"region","sanaag"
