dependent.var,independent.var,dependent.var.value,independent.var.value,numbers,se,min,max,repeat.var,repeat.var.value
msni,population_group,1,IDP,0.014555553,NA,0.00666895,0.022442157,NA,NA
msni,population_group,2,IDP,0.754000034,NA,0.710813363,0.797186705,NA,NA
msni,population_group,3,IDP,0.221650725,NA,0.181030705,0.262270744,NA,NA
msni,population_group,4,IDP,0.009793688,NA,-0.000856618,0.020443994,NA,NA
msni,population_group,1,not_displaced,0.122933961,NA,0.071038532,0.17482939,NA,NA
msni,population_group,2,not_displaced,0.766194259,NA,0.725014943,0.807373575,NA,NA
msni,population_group,3,not_displaced,0.108642634,NA,0.081444806,0.135840463,NA,NA
msni,population_group,4,not_displaced,0.002229145,NA,-0.000425949,0.004884239,NA,NA
pev_score,population_group,1,IDP,0.040138231,NA,0.021675886,0.058600577,NA,NA
pev_score,population_group,2,IDP,0.341079659,NA,0.287437568,0.39472175,NA,NA
pev_score,population_group,3,IDP,0.618782109,NA,0.564614587,0.672949632,NA,NA
pev_score,population_group,1,not_displaced,0.054736289,NA,0.026400896,0.083071682,NA,NA
pev_score,population_group,2,not_displaced,0.773270929,NA,0.73316346,0.813378398,NA,NA
pev_score,population_group,3,not_displaced,0.171992782,NA,0.137877143,0.206108422,NA,NA
hhh_score,population_group,1,IDP,0.276510904,NA,0.214188467,0.338833341,NA,NA
hhh_score,population_group,2,IDP,0.57099184,NA,0.506281586,0.635702094,NA,NA
hhh_score,population_group,3,IDP,0.063167934,NA,0.03761339,0.088722479,NA,NA
hhh_score,population_group,4,IDP,0.075643614,NA,0.047595856,0.103691371,NA,NA
hhh_score,population_group,5,IDP,0.011273029,NA,0.002592432,0.019953627,NA,NA
hhh_score,population_group,6,IDP,0.002412679,NA,-0.000323253,0.005148611,NA,NA
hhh_score,population_group,1,not_displaced,0.280472069,NA,0.242731113,0.318213026,NA,NA
hhh_score,population_group,2,not_displaced,0.579920615,NA,0.52698334,0.63285789,NA,NA
hhh_score,population_group,3,not_displaced,0.059811863,NA,0.042890922,0.076732803,NA,NA
hhh_score,population_group,4,not_displaced,0.070437558,NA,0.055274625,0.085600491,NA,NA
hhh_score,population_group,5,not_displaced,0.003135301,NA,0.001183557,0.005087046,NA,NA
hhh_score,population_group,6,not_displaced,0.005265535,NA,0.002415136,0.008115933,NA,NA
hhh_score,population_group,7,not_displaced,0.00053884,NA,-0.000215288,0.001292968,NA,NA
hhh_score,population_group,8,not_displaced,0.000418218,NA,-0.000334754,0.00117119,NA,NA
primary_income_earner_score,population_group,1,IDP,0.537324794,NA,0.479884021,0.594765566,NA,NA
primary_income_earner_score,population_group,2,IDP,0.321254303,NA,0.269905673,0.372602933,NA,NA
primary_income_earner_score,population_group,3,IDP,0.061373192,NA,0.040731296,0.082015089,NA,NA
primary_income_earner_score,population_group,4,IDP,0.055843082,NA,0.032580175,0.079105989,NA,NA
primary_income_earner_score,population_group,5,IDP,0.015900688,NA,-0.007671728,0.039473104,NA,NA
primary_income_earner_score,population_group,6,IDP,0.000821243,NA,-0.000518075,0.002160561,NA,NA
primary_income_earner_score,population_group,7,IDP,0.005947938,NA,0.000557359,0.011338516,NA,NA
primary_income_earner_score,population_group,8,IDP,0.001534761,NA,-0.001519196,0.004588717,NA,NA
primary_income_earner_score,population_group,1,not_displaced,0.599975685,NA,0.572271472,0.627679898,NA,NA
primary_income_earner_score,population_group,2,not_displaced,0.27975794,NA,0.254813666,0.304702214,NA,NA
primary_income_earner_score,population_group,3,not_displaced,0.072972831,NA,0.05722263,0.088723031,NA,NA
primary_income_earner_score,population_group,4,not_displaced,0.039699175,NA,0.030074161,0.049324189,NA,NA
primary_income_earner_score,population_group,5,not_displaced,0.005231911,NA,0.001452764,0.009011058,NA,NA
primary_income_earner_score,population_group,6,not_displaced,0.001499898,NA,-8.40E-06,0.003008191,NA,NA
primary_income_earner_score,population_group,8,not_displaced,0.000862561,NA,-0.000433872,0.002158994,NA,NA
vulnerable_members_score,population_group,1,IDP,0.556532147,NA,0.510171779,0.602892515,NA,NA
vulnerable_members_score,population_group,2,IDP,0.032009076,NA,0.017727363,0.046290789,NA,NA
vulnerable_members_score,population_group,3,IDP,0.28336467,NA,0.230906718,0.335822621,NA,NA
vulnerable_members_score,population_group,4,IDP,0.047632931,NA,0.032838051,0.062427811,NA,NA
vulnerable_members_score,population_group,5,IDP,0.025654858,NA,0.013520257,0.03778946,NA,NA
vulnerable_members_score,population_group,6,IDP,0.007452166,NA,0.000935278,0.013969054,NA,NA
vulnerable_members_score,population_group,7,IDP,0.023390961,NA,0.010710936,0.036070986,NA,NA
vulnerable_members_score,population_group,8,IDP,0.023963191,NA,0.01024505,0.037681331,NA,NA
vulnerable_members_score,population_group,1,not_displaced,0.618299689,NA,0.583793416,0.652805962,NA,NA
vulnerable_members_score,population_group,2,not_displaced,0.020151571,NA,0.010737479,0.029565663,NA,NA
vulnerable_members_score,population_group,3,not_displaced,0.246821799,NA,0.217768608,0.27587499,NA,NA
vulnerable_members_score,population_group,4,not_displaced,0.049004896,NA,0.037193635,0.060816157,NA,NA
vulnerable_members_score,population_group,5,not_displaced,0.021001366,NA,0.012837332,0.029165399,NA,NA
vulnerable_members_score,population_group,6,not_displaced,0.00624728,NA,0.002939072,0.009555489,NA,NA
vulnerable_members_score,population_group,7,not_displaced,0.019678745,NA,0.010883554,0.028473936,NA,NA
vulnerable_members_score,population_group,8,not_displaced,0.018794654,NA,0.007758098,0.029831211,NA,NA
id_score,population_group,1,IDP,0.08351252,NA,0.05397668,0.11304836,NA,NA
id_score,population_group,2,IDP,0.346379532,NA,0.282075378,0.410683686,NA,NA
id_score,population_group,3,IDP,0.137893361,NA,0.103225938,0.172560783,NA,NA
id_score,population_group,4,IDP,0.432214588,NA,0.369227545,0.495201631,NA,NA
id_score,population_group,1,not_displaced,0.231586759,NA,0.171971393,0.291202126,NA,NA
id_score,population_group,2,not_displaced,0.382956195,NA,0.336036094,0.429876295,NA,NA
id_score,population_group,3,not_displaced,0.082930944,NA,0.050494246,0.115367642,NA,NA
id_score,population_group,4,not_displaced,0.302526102,NA,0.244533156,0.360519048,NA,NA
adr_score,population_group,1,IDP,0.033565347,NA,0.021399232,0.045731462,NA,NA
adr_score,population_group,2,IDP,0.009135746,NA,0.004966631,0.013304862,NA,NA
adr_score,population_group,3,IDP,0.006805185,NA,0.003138812,0.010471557,NA,NA
adr_score,population_group,4,IDP,0.06285197,NA,0.040206854,0.085497085,NA,NA
adr_score,population_group,5,IDP,0.024916375,NA,0.006092643,0.043740106,NA,NA
adr_score,population_group,6,IDP,0.02361478,NA,0.010697393,0.036532166,NA,NA
adr_score,population_group,7,IDP,0.005307965,NA,0.000278725,0.010337205,NA,NA
adr_score,population_group,8,IDP,0.833802633,NA,0.794373193,0.873232072,NA,NA
adr_score,population_group,1,not_displaced,0.079941085,NA,0.054959788,0.104922382,NA,NA
adr_score,population_group,2,not_displaced,0.0142994,NA,0.008262067,0.020336733,NA,NA
adr_score,population_group,3,not_displaced,0.027520937,NA,0.01621228,0.038829594,NA,NA
adr_score,population_group,4,not_displaced,0.101576639,NA,0.086734626,0.116418651,NA,NA
adr_score,population_group,5,not_displaced,0.030219975,NA,0.023025963,0.037413986,NA,NA
adr_score,population_group,6,not_displaced,0.0303905,NA,0.017761019,0.043019981,NA,NA
adr_score,population_group,7,not_displaced,0.008729533,NA,0.004093111,0.013365956,NA,NA
adr_score,population_group,8,not_displaced,0.707321931,NA,0.667836223,0.746807639,NA,NA
wdr_score,population_group,1,IDP,0.002147853,NA,0.000395658,0.003900048,NA,NA
wdr_score,population_group,3,IDP,0.001999781,NA,-0.002114752,0.006114313,NA,NA
wdr_score,population_group,4,IDP,0.006306908,NA,-0.002345289,0.014959105,NA,NA
wdr_score,population_group,5,IDP,0.001492162,NA,-0.001536428,0.004520752,NA,NA
wdr_score,population_group,6,IDP,4.84E-05,NA,-5.10E-05,0.000147721,NA,NA
wdr_score,population_group,8,IDP,0.988004931,NA,0.978418602,0.997591259,NA,NA
wdr_score,population_group,1,not_displaced,0.004549287,NA,0.001037037,0.008061538,NA,NA
wdr_score,population_group,3,not_displaced,7.41E-06,NA,-4.06E-06,1.89E-05,NA,NA
wdr_score,population_group,4,not_displaced,0.00306918,NA,-0.000266941,0.0064053,NA,NA
wdr_score,population_group,5,not_displaced,0.000658707,NA,-0.000163637,0.00148105,NA,NA
wdr_score,population_group,7,not_displaced,1.93E-05,NA,-2.04E-05,5.90E-05,NA,NA
wdr_score,population_group,8,not_displaced,0.991696108,NA,0.986897792,0.996494425,NA,NA
cgt_score,population_group,2,IDP,0.188727564,NA,0.147379085,0.230076043,NA,NA
cgt_score,population_group,3,IDP,0.259209033,NA,0.171064793,0.347353272,NA,NA
cgt_score,population_group,4,IDP,0.224791826,NA,0.172884077,0.276699574,NA,NA
cgt_score,population_group,6,IDP,0.165276437,NA,0.131496799,0.199056074,NA,NA
cgt_score,population_group,8,IDP,0.161995141,NA,0.119395809,0.204594472,NA,NA
cgt_score,population_group,2,not_displaced,0.120696551,NA,0.097727282,0.14366582,NA,NA
cgt_score,population_group,3,not_displaced,0.196205675,NA,0.165281248,0.227130101,NA,NA
cgt_score,population_group,4,not_displaced,0.197751189,NA,0.169073571,0.226428807,NA,NA
cgt_score,population_group,6,not_displaced,0.177198043,NA,0.14617563,0.208220455,NA,NA
cgt_score,population_group,8,not_displaced,0.308148543,NA,0.250974863,0.365322224,NA,NA
income_score,population_group,4,IDP,4.68E-05,NA,-5.00E-05,0.000143704,NA,NA
income_score,population_group,5,IDP,0.01642553,NA,0.010712266,0.022138794,NA,NA
income_score,population_group,6,IDP,0.093954454,NA,0.058314739,0.12959417,NA,NA
income_score,population_group,7,IDP,0.817170236,NA,0.780484315,0.853856157,NA,NA
income_score,population_group,8,IDP,0.07240293,NA,0.048146351,0.096659509,NA,NA
income_score,population_group,3,not_displaced,0.000595108,NA,-0.000510654,0.00170087,NA,NA
income_score,population_group,4,not_displaced,0.000464404,NA,-8.86E-05,0.001017394,NA,NA
income_score,population_group,5,not_displaced,0.022665836,NA,0.012442219,0.032889453,NA,NA
income_score,population_group,6,not_displaced,0.139942236,NA,0.110835485,0.169048988,NA,NA
income_score,population_group,7,not_displaced,0.77997509,NA,0.747219358,0.812730822,NA,NA
income_score,population_group,8,not_displaced,0.056357325,NA,0.039492843,0.073221807,NA,NA
dir_score,population_group,2,IDP,0.197133418,NA,0.12455522,0.269711615,NA,NA
dir_score,population_group,3,IDP,0.138933844,NA,0.107000047,0.170867641,NA,NA
dir_score,population_group,4,IDP,0.072601382,NA,0.049867946,0.095334818,NA,NA
dir_score,population_group,5,IDP,0.100638747,NA,0.045422121,0.155855373,NA,NA
dir_score,population_group,6,IDP,0.208464639,NA,0.173415605,0.243513672,NA,NA
dir_score,population_group,7,IDP,0.029196808,NA,0.012522387,0.045871228,NA,NA
dir_score,population_group,8,IDP,0.253031163,NA,0.199390229,0.306672097,NA,NA
dir_score,population_group,2,not_displaced,0.220683397,NA,0.169600033,0.271766761,NA,NA
dir_score,population_group,3,not_displaced,0.17625917,NA,0.148312986,0.204205354,NA,NA
dir_score,population_group,4,not_displaced,0.0672985,NA,0.052423807,0.082173194,NA,NA
dir_score,population_group,5,not_displaced,0.092625089,NA,0.069537325,0.115712854,NA,NA
dir_score,population_group,6,not_displaced,0.164552402,NA,0.141330336,0.187774468,NA,NA
dir_score,population_group,7,not_displaced,0.035271859,NA,0.026221038,0.04432268,NA,NA
dir_score,population_group,8,not_displaced,0.243309583,NA,0.193486503,0.293132662,NA,NA
hhex_score,population_group,1,IDP,0.026389725,NA,0.016687873,0.036091577,NA,NA
hhex_score,population_group,2,IDP,0.012087416,NA,0.001679617,0.022495215,NA,NA
hhex_score,population_group,3,IDP,0.012795548,NA,0.004182699,0.021408398,NA,NA
hhex_score,population_group,4,IDP,0.00505714,NA,-0.0009024,0.01101668,NA,NA
hhex_score,population_group,5,IDP,0.004487302,NA,-0.001882123,0.010856726,NA,NA
hhex_score,population_group,6,IDP,0.022702511,NA,-0.001312949,0.046717972,NA,NA
hhex_score,population_group,7,IDP,0.18600207,NA,0.144767358,0.227236783,NA,NA
hhex_score,population_group,8,IDP,0.730478287,NA,0.691033176,0.769923398,NA,NA
hhex_score,population_group,1,not_displaced,0.013274732,NA,0.007967646,0.018581817,NA,NA
hhex_score,population_group,2,not_displaced,0.007769508,NA,0.004213686,0.01132533,NA,NA
hhex_score,population_group,3,not_displaced,0.01823789,NA,0.012152421,0.02432336,NA,NA
hhex_score,population_group,4,not_displaced,0.006261139,NA,0.001878211,0.010644066,NA,NA
hhex_score,population_group,5,not_displaced,0.014913345,NA,0.008482562,0.021344128,NA,NA
hhex_score,population_group,6,not_displaced,0.017262704,NA,0.009770565,0.024754842,NA,NA
hhex_score,population_group,7,not_displaced,0.240838109,NA,0.208093669,0.27358255,NA,NA
hhex_score,population_group,8,not_displaced,0.681442573,NA,0.649318368,0.713566778,NA,NA
impact_score,population_group,1,IDP,0.324679521,NA,0.270375847,0.378983194,NA,NA
impact_score,population_group,2,IDP,0.618468044,NA,0.566281365,0.670654724,NA,NA
impact_score,population_group,3,IDP,0.056852435,NA,0.03545475,0.078250121,NA,NA
impact_score,population_group,1,not_displaced,0.826834933,NA,0.775971373,0.877698492,NA,NA
