"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"msni","population_group","2","IDP",0.661908147196364,NA,0.585174366470883,0.738641927921846,"statex7","sws"
"msni","population_group","3","IDP",0.320157391680609,NA,0.24552392440615,0.394790858955069,"statex7","sws"
"msni","population_group","4","IDP",0.0179344611230265,NA,-0.0103148762268313,0.0461837984728843,"statex7","sws"
"msni","population_group","1","not_displaced",0.000447009312481977,NA,-0.000500291800382695,0.00139431042534665,"statex7","sws"
"msni","population_group","2","not_displaced",0.77746043351143,NA,0.723739075171187,0.831181791851673,"statex7","sws"
"msni","population_group","3","not_displaced",0.219143201792568,NA,0.162489606247387,0.27579679733775,"statex7","sws"
"msni","population_group","4","not_displaced",0.00294935538352004,NA,-0.00195463186132494,0.00785334262836502,"statex7","sws"
"msni","population_group","2","IDP",0.663982627656351,NA,0.533849694246378,0.794115561066324,"statex7","jubaland"
"msni","population_group","3","IDP",0.33601737234365,NA,0.205884438933676,0.466150305753623,"statex7","jubaland"
"msni","population_group","1","not_displaced",0.0231630241120969,NA,0.000474463214690423,0.0458515850095034,"statex7","jubaland"
"msni","population_group","2","not_displaced",0.698420836212572,NA,0.623078271173214,0.77376340125193,"statex7","jubaland"
"msni","population_group","3","not_displaced",0.277487681267796,NA,0.203353107374406,0.351622255161186,"statex7","jubaland"
"msni","population_group","4","not_displaced",0.000928458407535045,NA,-0.000820023069610443,0.00267693988468053,"statex7","jubaland"
"msni","population_group","1","IDP",0.0762193535058748,NA,0.0277633377688046,0.124675369242945,"statex7","somaliland"
"msni","population_group","2","IDP",0.763139549050331,NA,0.709805598075393,0.81647350002527,"statex7","somaliland"
"msni","population_group","3","IDP",0.160641097443794,NA,0.123228584720866,0.198053610166721,"statex7","somaliland"
"msni","population_group","1","not_displaced",0.144303571462456,NA,0.0754444949331395,0.213162647991772,"statex7","somaliland"
"msni","population_group","2","not_displaced",0.788400592195982,NA,0.727412117719702,0.849389066672262,"statex7","somaliland"
"msni","population_group","3","not_displaced",0.0672958363415625,NA,0.0404753166843401,0.094116355998785,"statex7","somaliland"
"msni","population_group","2","IDP",0.902708857026259,NA,0.789625931979077,1.01579178207344,"statex7","hirshabelle"
"msni","population_group","3","IDP",0.0972911429737413,NA,-0.0157917820734403,0.210374068020923,"statex7","hirshabelle"
"msni","population_group","1","not_displaced",0.0222658811927949,NA,-0.000301896810188284,0.044833659195778,"statex7","hirshabelle"
"msni","population_group","2","not_displaced",0.786526039759182,NA,0.733014327564909,0.840037751953454,"statex7","hirshabelle"
"msni","population_group","3","not_displaced",0.191208079048024,NA,0.124444868422261,0.257971289673786,"statex7","hirshabelle"
"msni","population_group","1","IDP",0.00331675527353799,NA,-0.000847608669812292,0.00748111921688826,"statex7","puntland"
"msni","population_group","2","IDP",0.661798895261389,NA,0.56206190902209,0.761535881500688,"statex7","puntland"
"msni","population_group","3","IDP",0.334884349465073,NA,0.234739885429689,0.435028813500457,"statex7","puntland"
"msni","population_group","1","not_displaced",0.0810199103822383,NA,0.0446609244838904,0.117378896280586,"statex7","puntland"
"msni","population_group","2","not_displaced",0.862860848900362,NA,0.844970927570772,0.880750770229953,"statex7","puntland"
"msni","population_group","3","not_displaced",0.0561192407173995,NA,0.029955621689451,0.082282859745348,"statex7","puntland"
"msni","population_group","1","IDP",0.00640356681933133,NA,-0.000723290869496056,0.0135304245081587,"statex7","galmudug"
"msni","population_group","2","IDP",0.716699188079509,NA,0.656516573344656,0.776881802814362,"statex7","galmudug"
"msni","population_group","3","IDP",0.271556377935078,NA,0.210970367665766,0.332142388204391,"statex7","galmudug"
"msni","population_group","4","IDP",0.00534086716608131,NA,-0.00037882066344384,0.0110605549956065,"statex7","galmudug"
"msni","population_group","1","not_displaced",0.0911700782776819,NA,0.0307643253992433,0.15157583115612,"statex7","galmudug"
"msni","population_group","2","not_displaced",0.763484132685856,NA,0.71963650919976,0.807331756171952,"statex7","galmudug"
"msni","population_group","3","not_displaced",0.140158944376215,NA,0.0848944913581698,0.19542339739426,"statex7","galmudug"
"msni","population_group","4","not_displaced",0.00518684466024724,NA,-0.0015424237977212,0.0119161131182157,"statex7","galmudug"
"msni","population_group","2","IDP",0.779432288859469,NA,0.702457887999157,0.856406689719781,"statex7","banadir"
"msni","population_group","3","IDP",0.213531312223314,NA,0.139050248575366,0.288012375871262,"statex7","banadir"
"msni","population_group","4","IDP",0.00703639891721767,NA,-0.00622827551192752,0.0203010733463629,"statex7","banadir"
"msni","population_group","1","not_displaced",0.150871334816439,NA,0.0887389904056822,0.213003679227197,"statex7","banadir"
"msni","population_group","2","not_displaced",0.779300521080769,NA,0.690386754334873,0.868214287826666,"statex7","banadir"
"msni","population_group","3","not_displaced",0.0668843364990048,NA,0.00386516783036918,0.12990350516764,"statex7","banadir"
"msni","population_group","4","not_displaced",0.0029438076037865,NA,0.00169301473484627,0.00419460047272674,"statex7","banadir"
"pev_score","population_group","1","IDP",0.000785917241733604,NA,-0.000377250635118726,0.00194908511858593,"statex7","sws"
"pev_score","population_group","2","IDP",0.124324731016988,NA,0.0537578227068119,0.194891639327164,"statex7","sws"
"pev_score","population_group","3","IDP",0.874889351741278,NA,0.804369989793901,0.945408713688656,"statex7","sws"
"pev_score","population_group","1","not_displaced",0.00217043995982543,NA,-0.0010751921144819,0.00541607203413276,"statex7","sws"
"pev_score","population_group","2","not_displaced",0.775335264348262,NA,0.694204406954495,0.856466121742029,"statex7","sws"
"pev_score","population_group","3","not_displaced",0.222494295691913,NA,0.140416356064513,0.304572235319313,"statex7","sws"
"pev_score","population_group","1","IDP",0.00625361430308644,NA,-0.00629724239369704,0.0188044709998699,"statex7","jubaland"
"pev_score","population_group","2","IDP",0.230336638668752,NA,0.153212077603688,0.307461199733817,"statex7","jubaland"
"pev_score","population_group","3","IDP",0.763409747028161,NA,0.67720697573968,0.849612518316642,"statex7","jubaland"
"pev_score","population_group","1","not_displaced",0.0041455378006989,NA,-0.000227472702707157,0.00851854830410495,"statex7","jubaland"
"pev_score","population_group","2","not_displaced",0.811206036306236,NA,0.766614543231796,0.855797529380675,"statex7","jubaland"
"pev_score","population_group","3","not_displaced",0.184648425893066,NA,0.140754496688402,0.228542355097729,"statex7","jubaland"
"pev_score","population_group","1","IDP",0.0149890145460381,NA,0.00164050133284222,0.0283375277592339,"statex7","somaliland"
"pev_score","population_group","2","IDP",0.305449766017558,NA,0.257832545892416,0.3530669861427,"statex7","somaliland"
"pev_score","population_group","3","IDP",0.679561219436404,NA,0.627168857895506,0.731953580977301,"statex7","somaliland"
"pev_score","population_group","1","not_displaced",0.0331310118491364,NA,0.0151192371454471,0.0511427865528258,"statex7","somaliland"
"pev_score","population_group","2","not_displaced",0.820200978649192,NA,0.78394015228063,0.856461805017755,"statex7","somaliland"
"pev_score","population_group","3","not_displaced",0.146668009501671,NA,0.114929608791556,0.178406410211786,"statex7","somaliland"
