"repeat.var.value","independent.var.value","u5_morbidity_score__1","u5_morbidity_score__3","u5_morbidity_score__5","u5_morbidity_score__7","u5_morbidity_score__8","mental_health_score__1","mental_health_score__2","mental_health_score__3","mental_health_score__4","mental_health_score__5","mental_health_score__6","mental_health_score__7","mental_health_score__8"
"Afgooye","IDP",0.064749855932122,0.266660936497655,0.654133828016569,0.0103252711097523,0.00413010844390091,0.951345416216992,0.00708152094742754,0.015933422131712,0.00531114071057065,0,0,0.0203284999932981,0
"Afgooye","not_displaced",0.190883568423503,0.400937723700941,0.328197234442048,0.0146615363259967,0.0653199371075107,0.846218829905466,0,0.0928119140378813,0.0406461707044351,0.0101615426761088,0,0.0101615426761088,0
"Afmadow","IDP",0.0221858667811616,0.171897902077195,0.208874346712465,0.574856017648017,0.0221858667811616,0.967177242888403,0,0.00656455142231948,0,0,0,0.013129102844639,0.013129102844639
"Afmadow","not_displaced",0.175068746916127,0.215777309045161,0.336813721105375,0.211101364550541,0.0612388583827955,0.828862993863339,0,0.0777770116527615,0.0217885954630077,0,0.0228228642349859,0.0487485347859064,0
"Baardheere","IDP",0,0,1,0,0,1,0,0,0,0,0,0,0
"Baardheere","not_displaced",0.0338983050847458,0.169491525423729,0.508474576271186,0.254237288135593,0.0338983050847458,0.666666666666667,0.0595238095238095,0.214285714285714,0,0,0,0.0595238095238095,0
"Badhaadhe","IDP",0,0,0.6,0.4,0,0.6,0.2,0.2,0,0,0,0,0
"Badhaadhe","not_displaced",0.0555555555555556,0.0555555555555556,0.333333333333333,0.444444444444444,0.111111111111111,0.9,0.1,0,0,0,0,0,0
"Baki","IDP",0,1,0,0,0,1,0,0,0,0,0,0,0
"Baki","not_displaced",0.953703703703704,0.0462962962962963,0,0,0,0.986301369863014,0.00684931506849315,0.00684931506849315,0,0,0,0,0
"Balcad","IDP",0,0,0,1,0,0.666666666666667,0,0.333333333333333,0,0,0,0,0
"Balcad","not_displaced",0.0161399242341152,0.226182543757565,0.0376598232129355,0.540461612825264,0.179556095970121,0.627907055150983,0.00498340270553263,0.0149502081165979,0,0,0,0.352159334026887,0
"Banadir","IDP",0.369463200761161,0.246166571226304,0.225406347762246,0.108977248672478,0.0499866315778117,0.837742401316995,0.0471095159874049,0.0684218263672465,0.0178799005704073,0.00514856525881486,0,0.0224341390705558,0.00126365142857571
"Banadir","not_displaced",0.393097017739413,0.316653830190344,0.216944106812718,0.0669140136174474,0.00639103164007762,0.799478596329067,0.0235045150037139,0.0766390780413428,0.0309160298138163,0.000129258473337833,0.00925796962314565,0.0540220948723454,0.00605245784323075
"Bandarbeyla","IDP",0.6,0.2,0.2,0,0,1,0,0,0,0,0,0,0
"Bandarbeyla","not_displaced",0.598360655737705,0.278688524590164,0.0983606557377049,0.00819672131147541,0.0163934426229508,0.945783132530121,0.0180722891566265,0.0240963855421687,0.00602409638554217,0,0,0.00602409638554217,0
"Baydhaba","IDP",0.287189984858251,0.300385586271481,0.320055218977659,0.0791736084793795,0.0131956014132299,0.693811936821131,0.0107860041721894,0.140218054238463,0,0,0,0.112039988079459,0.0431440166887578
"Baydhaba","not_displaced",0.228369024476445,0.197973641108825,0.312688248529957,0.120352748486514,0.14061633739826,0.664890046789713,0.108265002786165,0.0952851281189423,0.0349422292785224,0,0,0.0849701832671497,0.0116474097595075
"Belet Weyne","IDP",0.2590886814262,0.516532300869394,0.163842738939142,0.0347096637217938,0.0258266150434697,0.912776742619463,0.0462298680819845,0.040993389298552,0,0,0,0,0
"Belet Weyne","not_displaced",0.242778297448361,0.431372549019608,0.163838932908215,0.128111340538793,0.0338988800850237,0.659404426899437,0.211108164659612,0.0692963253615108,0.0323230327900637,0,0,0.0278680502893773,0
"Belet Xaawo","IDP",0,0,0.731332356649282,0.175168257387024,0.0934993859636938,0.724070093293272,0.00778337697438074,0.079004340611608,0.0987554257645099,0,0.019751085152902,0.0706356782033269,0
"Belet Xaawo","not_displaced",0.0971606775530071,0.11250183716664,0.709147909715929,0.0658484159507915,0.0153411596136327,0.931840240846733,0.0172184500415992,0.0352670601542316,0.0117556867180772,0,0,0.00391856223935907,0
"Berbera","IDP",0.162041921761278,0.777192357578242,0.0202552402201598,0,0.0405104804403196,0.918172450232021,0.0467585998674167,0.0350689499005625,0,0,0,0,0
"Berbera","not_displaced",0.810034413163915,0.185410985918473,0.00390394364366778,0.00065065727394463,0,0.908004536944044,0.0529320607619296,0.0390634022940262,0,0,0,0,0
