"dependent.var.value","independent.var.value","repeat.var.value","pev_score_2_cat","edu_score_2_cat","nut_score_2_cat","health_score_2_cat","snfi_score_2_cat","wash_score_2_cat","fsl_score_2_cat","prot_score_2_cat","mcsi_score_2_cat","impact_score_2_cat","msni_2_cat","admin2Name"
"in_need","IDP","SO1101",0.6,0.16,0.2,0,0.6,0,0.28,0,0,0,0.28,"Borama"
"in_need","IDP","SO1103",0.6,0,0.125,0,0.725,0.025,0.05,0,0,0,0.075,"Lughaye"
"in_need","IDP","SO1201",0.530966561818888,0.033781703802423,0.384579178675055,0,0.045042271736564,0.0168908519012115,0.0168908519012115,0,0,0,0.033781703802423,"Hargeysa"
"in_need","IDP","SO1202",0.245482649303937,0.0467585998674167,0.614241551093813,0.590862251160104,0.672689800928083,0.602551901126958,0.14027579960225,0,0,0,0.742827700729208,"Berbera"
"in_need","IDP","SO1203",0.718423804086467,0.137490654973916,0.235411994153625,0,0.353117991230437,0.0659488596570114,0.349820548247586,0,0.0164872149142529,0,0.382794978076092,"Gebiley"
"in_need","IDP","SO1301",0.689592945790537,0.0884299337634993,0.300581506013519,0.0196510963918887,0.43813918075674,0.21215157225002,0.715059102317613,0,0.172849379466242,0,0.764186843297335,"Burco"
"in_need","IDP","SO1302",0.713577113062569,0.307340834248079,0.448675905598244,0.110627058177827,0.419779088913282,0.514448408342481,0.302380625686059,0,0.0073751372118551,0,0.691451701427003,"Buuhoodle"
"in_need","IDP","SO1303",0.363199059620629,0.372363582974728,0.458876150866362,0,0.561312593379654,0.00979930745948165,0.169350395485963,0,0,0,0.177924789513009,"Owdweyne"
"in_need","IDP","SO1401",0.700765051239269,0.129088298912497,0.442588453414275,0.0737647422357126,0.221294226707138,0.184411855589281,0.175191262809817,0,0,0,0.285838376163386,"Laas Caanood"
"in_need","IDP","SO1402",0.929942854243228,0.269676174044959,0.199619028288188,0,0.672504762146398,0.402828588101438,0.572695248002304,0,0.152352373461673,0,0.812619053659941,"Caynabo"
"in_need","IDP","SO1403",0.937462775461584,0.451459201905896,0.569386539606909,0.104228707564026,0.125074449076831,0.180464562239428,0.125074449076831,0,0,0,0.30553901131626,"Taleex"
"in_need","IDP","SO1404",0.827278615387068,0.0863606923064658,0.542838637354928,0.0370117252741996,0.625314721607575,0.0740234505483992,0.308431043951663,0,0.0123372417580665,0,0.35778001098393,"Xudun"
"in_need","IDP","SO1501",0.21005883120535,0.0200084911018032,0.310040635987201,0,0.430030931870854,0.220032751392669,0.350057618190807,0,0.0400169822036063,0,0.37006610929261,"Ceerigaabo"
"in_need","IDP","SO1502",0.752621311081669,0.275725387195996,0.813399189580767,0.234759857130682,0.462326197615229,0.510485244326678,0.557668843796729,0,0.010485244326678,0,0.712813921235928,"Ceel Afweyn"
"in_need","IDP","SO1503",0.789988030186259,0.0386159600217942,0.306898664350895,0.0217268613972929,0.241349750136213,0.0386159600217942,0.209990434273607,0,0.0386159600217942,0,0.248606394295401,"Laasqoray"
