"dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value","F","p.value","ndf","ddf","name"
"msni",NA,"1",NA,0.0314683626100127,NA,0.00403544091895109,0.0589012843010743,"statex7","hirshabelle",NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"msni",NA,"2",NA,0.858559445738786,NA,0.808544654803645,0.908574236673926,"statex7","hirshabelle",NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"msni",NA,"3",NA,0.109972191651202,NA,0.0388310922103064,0.181113291092097,"statex7","hirshabelle",NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"msni",NA,"1",NA,0.078154799321439,NA,0.0672976215168728,0.0890119771260052,"statex7","puntland",NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"msni",NA,"2",NA,0.829406657106193,NA,0.81119991896552,0.847613395246867,"statex7","puntland",NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"msni",NA,"3",NA,0.0924385435723677,NA,0.07466213620007,0.110214950944665,"statex7","puntland",NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"msni",NA,"1",NA,0.165150298684381,NA,0.101353259880326,0.228947337488436,"statex7","somaliland",NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"msni",NA,"2",NA,0.75785459035495,NA,0.701497520105796,0.814211660604105,"statex7","somaliland",NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"msni",NA,"3",NA,0.0769951109606689,NA,0.0482845075976043,0.105705714323734,"statex7","somaliland",NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"msni",NA,"1",NA,0.0212452996353759,NA,0.00119250047661905,0.0412980987941327,"statex7","jubaland",NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"msni",NA,"2",NA,0.679043793555621,NA,0.609686390564489,0.748401196546754,"statex7","jubaland",NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"msni",NA,"3",NA,0.298774423197126,NA,0.229824166813893,0.36772467958036,"statex7","jubaland",NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"msni",NA,"4",NA,0.000936483611876248,NA,-0.000670747902814194,0.00254371512656669,"statex7","jubaland",NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"msni",NA,"1",NA,0.107314731301842,NA,0.0462846406035674,0.168344822000116,"statex7","galmudug",NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"msni",NA,"2",NA,0.776456858267019,NA,0.730395258115124,0.822518458418914,"statex7","galmudug",NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
"msni",NA,"3",NA,0.102313537690542,NA,0.0677011055396715,0.136925969841412,"statex7","galmudug",NA,NA,NA,NA,"no hypothesis test on case 'Direct reporting'"
