"region","hc","idp"
"awdal",0.462199312714777,0.423076923076923
"bakool",0.565543071161049,0.821428571428571
"banadir",0.490430622009569,0.695544554455446
"bari",0.397003745318352,0.701657458563536
"bay",0.67816091954023,0.607594936708861
"galgaduud",0.317757009345794,0.477732793522267
"gedo",0.636546184738956,0.756410256410256
"hiraan",0.495934959349594,0.528301886792453
"lower_juba",0.529100529100529,0.63013698630137
"lower_shabelle",0.610989010989011,0.790419161676647
"middle_shabelle",0.43046357615894,0.324324324324324
"mudug",0.438818565400844,0.676567656765677
"nugaal",0.525,0.706896551724138
"sanaag",0.387019230769231,0.582781456953642
"sool",0.379439252336449,0.536363636363636
"togdheer",0.366525423728814,0.47906976744186
"woqooyi_galbeed",0.375921375921376,0.454545454545455
